,val_loss,val_binary_accuracy,loss,binary_accuracy,lr
0,0.4796936810016632,0.8125,0.5187905254062086,0.7951091527938843,9.999999747378752e-05
1,0.4644479528069496,0.8125,0.4945928545185572,0.7993013262748718,9.999999747378752e-05
2,0.46981675177812576,0.8125,0.4883604129849563,0.8001746535301208,9.999999747378752e-05
3,0.4717424213886261,0.8125,0.48087814321163963,0.7993013262748718,9.999999747378752e-05
4,0.45929384231567383,0.8125,0.4730803216805104,0.7994759678840637,9.999999747378752e-05
5,0.47102851420640945,0.8125,0.4658267349186943,0.7996506690979004,9.999999747378752e-05
6,0.4496969059109688,0.8125,0.469075530543598,0.8006986975669861,9.999999747378752e-05
7,0.44904883205890656,0.8125,0.4638711964199116,0.7989519834518433,9.999999747378752e-05
8,0.44032634049654007,0.8125,0.4579929463936252,0.800000011920929,9.999999747378752e-05
9,0.4683057367801666,0.81640625,0.4520255959294248,0.8017467260360718,9.999999747378752e-05
10,0.4531409740447998,0.8046875,0.4491500551835939,0.8033187985420227,9.999999747378752e-05
11,0.43466319888830185,0.8125,0.44927776309600564,0.8027947545051575,9.999999747378752e-05
12,0.44067349284887314,0.8125,0.4452637503501109,0.802270770072937,9.999999747378752e-05
13,0.43351954221725464,0.80859375,0.4430670952796936,0.8013973832130432,9.999999747378752e-05
14,0.4283599555492401,0.81640625,0.43718139818141555,0.8043668270111084,9.999999747378752e-05
15,0.45514463633298874,0.8125,0.4344980850594533,0.8057641983032227,9.999999747378752e-05
16,0.4354890510439873,0.81640625,0.4304405803191089,0.8071615695953369,9.999999747378752e-05
17,0.43358781933784485,0.8125,0.42029239427574855,0.8076856136322021,9.999999747378752e-05
18,0.4339772164821625,0.796875,0.41570822633510074,0.8106549978256226,4.999999873689376e-05
19,0.43295956403017044,0.8125,0.40759163376025237,0.8143231272697449,4.999999873689376e-05
20,0.4339705929160118,0.82421875,0.4009266786335858,0.815021812915802,4.999999873689376e-05
21,0.4430532157421112,0.8125,0.3954619230505681,0.8253275156021118,2.499999936844688e-05
22,0.4426121413707733,0.81640625,0.388343600310613,0.8246288299560547,2.499999936844688e-05
23,0.4448378384113312,0.796875,0.38257707736377633,0.8267248868942261,2.499999936844688e-05
24,0.44532398134469986,0.80859375,0.38210804133436044,0.826026201248169,1.249999968422344e-05
